iter	Accuracy	MultiClass
779	0.8301089818	0.4709300662
780	0.8301209192	0.4708564239
781	0.8301554351	0.4707425232
782	0.8301683113	0.4706239107
783	0.830324256	0.4705257132
784	0.8303420075	0.4704318448
785	0.8304355941	0.4703202923
786	0.8304134849	0.4702199783
787	0.8304170796	0.4701398484
788	0.8304170796	0.4700529707
789	0.830588767	0.4699672651
790	0.8306632731	0.469863062
791	0.8306230241	0.4697825888
792	0.8306380385	0.469708301
793	0.8307327743	0.4695984662
794	0.8308122041	0.4694870932
795	0.8307521947	0.4694174274
796	0.8307439024	0.4692176223
797	0.8309622536	0.4691040251
798	0.8310093058	0.4689873874
799	0.8308997332	0.4688023388
800	0.8309741582	0.4687190627
801	0.8310504626	0.4686308084
802	0.8310883144	0.4685120162
803	0.8309718905	0.4684491752
804	0.8309900303	0.4683488893
805	0.8312619296	0.4682438823
806	0.8312879735	0.4681241941
807	0.8312322407	0.4679661198
808	0.8312797622	0.467874404
809	0.8313194124	0.4677898193
810	0.831232629	0.4677068626
811	0.8313194124	0.467645121
812	0.8314559366	0.4675158899
813	0.8314208219	0.4673994433
814	0.831424063	0.4672581105
815	0.8314927066	0.4671531104
816	0.8315820166	0.4670369395
817	0.8316312881	0.466935636
818	0.8316016475	0.4668638258
819	0.831628551	0.4667978829
820	0.8317185755	0.4666506038
821	0.8317160972	0.4665582292
822	0.8316904743	0.4664759708
823	0.8317086952	0.4663716096
824	0.8319275158	0.4662263426
825	0.8319521516	0.4661437343
826	0.8317170359	0.4660076139
827	0.8318457372	0.4658999266
828	0.8317068642	0.4657775112
829	0.8317927088	0.4656859007
830	0.8318524593	0.465608839
831	0.8319142187	0.4655049403
832	0.8319261077	0.4654074236
833	0.831936975	0.4653090432
834	0.8319506624	0.4652112209
835	0.8319634091	0.4651256916
836	0.8321087454	0.4650033953
837	0.8319254278	0.4649372845
838	0.8322935677	0.4648144765
839	0.8322373656	0.4647129519
840	0.8323889043	0.4645264454
841	0.8324541773	0.4644291347
842	0.8323869437	0.4643480787
843	0.8324490914	0.4642855023
844	0.8324542257	0.4642045415
845	0.832518641	0.4641063552
846	0.832585664	0.4640126342
847	0.8327428064	0.4639040317
848	0.832717313	0.4638116879
849	0.8327339963	0.4636896144
850	0.8327737275	0.4636139994
851	0.8329905876	0.4635033941
852	0.8329814356	0.4633908486
853	0.8331751511	0.463327665
854	0.8331157406	0.4632453002
855	0.8331082575	0.4631656874
856	0.8332819538	0.4630938972
857	0.8334047926	0.46300113
858	0.8334144139	0.4628755575
859	0.8335106081	0.4627705503
860	0.8333945724	0.4626874999
861	0.8334018449	0.462583244
862	0.8334341415	0.4624799601
863	0.833392013	0.4623718427
864	0.8335926455	0.4622206329
865	0.8336454306	0.4621376478
866	0.8336417548	0.4620542512
867	0.8336640417	0.4619627031
868	0.8336494156	0.4618674984
869	0.8337813233	0.4617973743
870	0.8337571569	0.461704939
871	0.8337110455	0.4616292288
872	0.833898688	0.46155007
873	0.8337999344	0.461454568
874	0.8339056206	0.4613362694
875	0.8339635747	0.4612140508
876	0.8340403485	0.4611317712
877	0.8342420164	0.4610038232
878	0.8343187902	0.4609408637
879	0.8343242644	0.4608544514
